=======================================================================================
AI DATA FILE - Xi'Chung AI Speech - Captain Kwok's Balance Mod v125+
=======================================================================================

Replacement Symbols used:
[%OurEmperorTitle%]       - Our Emperor's Title
Send Request Technological Assistance 3                                 := Our mutual defense depends on keeping us abreast of your most recent research achievements. 
Send Request Technological Assistance 4                                 := The [%OurEmpireName%] has had a number of recent research failures. We are inquiring about technological assistance you could render us.
Send Request Technological Assistance 5                                 := Knowledge should be free for all of the peoples of the galaxy! What technology you share with us, we will also share with you. 
Send Request Intelligence Assistance 1                                  := The [%OurEmpireName%] is being overrun by enemy intelligence agents. We request any assistance you can offer!
Send Request Intelligence Assistance 2                                  := The [%TargetEmpireName%] has always been known for its excellent intelligence capabilities. Might you share some with an ally?
Send Request Intelligence Assistance 3                                  := Due to some recent sabotage of our key facilities, we have noted a clear deficiency in intelligence defense. We were wondering if you might loan us some of your intelligence personnel?
Send Request Intelligence Assistance 4                                  := If the [%OurEmpireName%] cannot secure its borders from espoinage activities, then our enemies may learn of our plans. Please assist us. 
Send Request Intelligence Assistance 5                                  := We humbly request a short term assistance in intelligence defense. 
Send Request Intelligence Assistance Against Empire 1                   := The [%OtherEmpireName%] has continued its relentless intelligence attacks against us. We wish to coordinate our intelligence counterstrike with you. 
Send Request Intelligence Assistance Against Empire 2                   := The vile [%OtherEmpireName%] have blatantly sabotaged our facilities. We call upon the [%TargetEmpireName%] to respond to them in kind. 
Send Request Intelligence Assistance Against Empire 3                   := Direct all of your intelligence activities against the dreaded [%OtherEmpireName%]!
Send Request Intelligence Assistance Against Empire 4                   := The [%OurEmpireName%] and the [%TargetEmpireName%] must created a united intelligence front against the [%OtherEmpireName%].
Send Request Intelligence Assistance Against Empire 5                   := Your intelligence assistance against the [%OtherEmpireName%] will be greatly rewarded. 
Send Stop Border Incursions 1                                           := Desist in your border incursions!
Send Stop Border Incursions 2                                           := Any additional border incursions by the [%TargetEmpireName%] will result in war!
Send Stop Border Incursions 3                                           := Please remove your ships from our borders, or we will remove them ourselves. 
Send Stop Border Incursions 4                                           := The territory of the [%OurEmpireName%] is absolute. We will not tolerate any incursions by your ships. 
Send Stop Border Incursions 5                                           := Your reckless incursions in our territory will result in swift retaliation. 
Send Stop Military Attacks On Us 1                                      := You risk war with these military attacks!
Send Stop Military Attacks On Us 2                                      := Any additional military attacks by the [%TargetEmpireName%] will result in the complete destruction of your populace. 
Send Stop Military Attacks On Us 3                                      := Reign in your military or we shall respond in kind. 
Send Stop Military Attacks On Us 4                                      := The [%TargetEmpireName%] is merely a bunch of hooligans who attack without thought of the consequences. 
Send Stop Military Attacks On Us 5                                      := Your military attacks against the [%OurEmpireName%] will not be tolerated!
Send Stop Military Attacks Against Empire 1                             := Desist in your military attacks against the [%OtherEmpireName%] or we shall retaliate. 
Send Stop Military Attacks Against Empire 2                             := The [%OtherEmpireName%] is on its knees. Show some mercy!
Send Stop Military Attacks Against Empire 3                             := The [%OtherEmpireName%] are close friends of the [%OurEmpireName%] people. We cannot idly stand by while you attack them. 
Send Stop Military Attacks Against Empire 4                             := For every attack you make against the [%OtherEmpireName%], we shall execute an attack against you!
Send Stop Military Attacks Against Empire 5                             := Stop your military attacks against the [%OtherEmpireName%] immediately. We will not warn you again.
Send Remove Ships From System 1                                         := You must immediately remove all of your ships from the [%SystemName%] system. You have until [%RequestDate%] to comply with our demand.
Send Remove Ships From System 2                                         := The [%SystemName%] system has been claimed by the [%OurEmpireName%]. We shall fight to defend it.
Send Remove Ships From System 3                                         := We cannot allow any more of your incursions into the [%SystemName%] system.
Send Remove Ships From System 4                                         := We are planning a massive offensive in the [%SystemName%] system. Unless you remove your ships by [%RequestDate%], they might get damaged.
Send Remove Ships From System 5                                         := Ancient treaties stipulate that the [%SystemName%] system belongs to our people. You have [%RequestTime%] months to remove your ships.
Send Remove Colonies From System 1                                      := You must immediately remove your people from the [%SystemName%] system. You have until [%RequestDate%] or else!
Send Remove Colonies From System 2                                      := [%TargetEmperorName%], your colonies are in great danger in the [%SystemName%] system. Move them by [%RequestDate%] or they will be removed for you.
Send Remove Colonies From System 3                                      := The [%SystemName%] system is our ancestral hunting grounds. If you remain, you too may become hunted.
Send Remove Colonies From System 4                                      := The [%SystemName%] system is about to be cleansed by us. We suggest you leave before [%RequestDate%] arrives.
Send Remove Colonies From System 5                                      := You have taken up residence on worlds which don't belong to you. Leave the [%SystemName%] system at once!
Send Friend Miscellaneous Msg 1                                         := We are glad to have a strong ally such as you.
Send Friend Miscellaneous Msg 2                                         := Your military prowess is exceptional.
Send Friend Miscellaneous Msg 3                                         := There are many dangers that threaten our treaty.
Send Friend Miscellaneous Msg 4                                         := There are rumors that one of your planets is going to rebel.
Send Friend Miscellaneous Msg 5                                         := Trust no one but us brother. We shall light a path through the galaxy together!
Response Friend Declare War 1                                           := Backstabber! You shall pay.
Response Friend Declare War 2                                           := What would lead you to such folly, [%TargetEmperorTitle%] [%TargetEmperorName%]? You will only destroy yourselves.
Response Friend Declare War 3                                           := We suspected this day would come. We never really trusted you, [%TargetEmperorTitle%] [%TargetEmperorName%]. Aggression is the only desire in your heart.
Response Friend Declare War 4                                           := You are a fool [%TargetEmperorTitle%] [%TargetEmperorName%]. Your forces are no match for ours. We shall burn your worlds and the quadrant will forget your cursed name.
Response Friend Declare War 5                                           := War has come. We have long been preparing for this day.
Response Friend Surrender 1                                             := We accept your surrender.
Response Friend Surrender 2                                             := At long last, we will join to form a greater whole!
Response Friend Surrender 3                                             := You save your people from extermination, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Friend Surrender 4                                             := This is the only course you could have taken.
Response Friend Surrender 5                                             := The [%TargetEmpireName%] is not gone, but has become a part of us.
Response Friend Grant Independence 1                                    := We welcome our returning colony of [%SpaceObjectName%].
Response Friend Grant Independence 2                                    := We welcome back our long lost brothers.
Response Friend Grant Independence 3                                    := We shall not forget this act of kindness, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Friend Grant Independence 4                                    := With this small act, you help to cement our alliance.
Response Friend Grant Independence 5                                    := The [%OurEmpireName%] thanks you.
Response Friend Accept Treaty Proposal 1                                := This is a tremendous day!
Response Friend Accept Treaty Proposal 2                                := We welcome our new ally. You have made the right choice, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Friend Accept Treaty Proposal 3                                := All the beacons of our worlds are lit up in celebration!
Response Friend Accept Treaty Proposal 4                                := Come, we have much to discuss for the future. Our alliance is merely the beginning!
Response Friend Accept Treaty Proposal 5                                := History will show this as the beginning of a new epoch for the quadrant.
Response Friend Accept Treaty Changes 1                                 := This is a tremendous day!
Response Friend Accept Treaty Changes 2                                 := We welcome our new ally. You have made the right choice, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Friend Accept Treaty Changes 3                                 := All the beacons of our worlds are lit up in celebration!
Response Friend Accept Treaty Changes 4                                 := Come, we have much to discuss for the future. Our alliance is merely the beginning!
Response Friend Accept Treaty Changes 5                                 := History will show this as the beginning of a new epoch for the quadrant.
Response Friend Refuse Treaty Proposal 1                                := We're sorry to hear that.
Response Friend Refuse Treaty Proposal 2                                := That is a foolish decision, [%TargetEmperorTitle%] [%TargetEmperorName%]. This treaty would have been to great benefit for us both..
Response Friend Refuse Treaty Proposal 3                                := Please rethink your decision, the future depends on it.
Response Friend Refuse Treaty Proposal 4                                := That is very unfortunate.
Response Friend Refuse Treaty Proposal 5                                := Perhaps next year?
Response Friend Refuse Treaty Changes 1                                 := We're sorry to hear that.
Response Friend Refuse Treaty Changes 2                                 := That is a foolish decision, [%TargetEmperorTitle%] [%TargetEmperorName%]. This treaty would have been to great benefit for us both..
Response Friend Refuse Treaty Changes 3                                 := Please rethink your decision, the future depends on it.
Response Friend Refuse Treaty Changes 4                                 := That is very unfortunate.
Response Friend Refuse Treaty Changes 5                                 := Perhaps next year?
Response Friend Break Treaty 1                                          := You must not break our treaty!.
Response Friend Break Treaty 2                                          := Why have you thrown away all of our hard work, [%TargetEmperorTitle%] [%TargetEmperorName%]?
Response Friend Break Treaty 3                                          := This treaty maintained stability in the quadrant. Its loss will hurt us both.
Response Friend Break Treaty 4                                          := [%TargetEmperorTitle%] [%TargetEmperorName%], this is not what we expect of our allies. Are you in league with our enemies?
Response Friend Break Treaty 5                                          := Betrayal is never pleasant, [%TargetEmperorTitle%] [%TargetEmperorName%]. We shall not soon forget this.
Response Friend Accept Trade 1                                          := Glad to do business with you.
Response Friend Accept Trade 2                                          := You are most welcome.
Response Friend Accept Trade 3                                          := Your trade will help our people everywhere.
Response Friend Accept Trade 4                                          := You are wise for one so young, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Friend Accept Trade 5                                          := We look forward to future dealings with you, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Friend Refuse Trade 1                                          := That was an equitable trade you refused.
Response Friend Refuse Trade 2                                          := Foolish.
Response Friend Refuse Trade 3                                          := Our honor does not take lightly to such refusals, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Friend Refuse Trade 4                                          := If you dislike that trade, please propose one that you do.
Response Friend Refuse Trade 5                                          := You cannot remain so isolated if you are to survive.
Response Friend Accept Gift 1                                           := We're glad you enjoy the gift.
Response Friend Accept Gift 2                                           := That gift is but a taste of what we have to offer.
Response Friend Accept Gift 3                                           := You honor us.
Response Friend Accept Gift 4                                           := We too enjoy receiving gifts.
Response Friend Accept Gift 5                                           := By your leave, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Friend Refuse Gift 1                                           := You insult us by refusing.
Response Friend Refuse Gift 2                                           := Why would you refuse such a generous gift, [%TargetEmperorTitle%] [%TargetEmperorName%]?
Response Friend Refuse Gift 3                                           := There will not be another.
Response Friend Refuse Gift 4                                           := You wound us with your refusal, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Friend Refuse Gift 5                                           := Is there nothing that will please you?
Response Friend Accept Alliance Proposal 1                              := This is a momentous day!
Response Friend Accept Alliance Proposal 2                              := We welcome you into a larger galactic community. 
Response Friend Accept Alliance Proposal 3                              := You have made a decision of historical importance this day [%TargetEmperorTitle%] [%TargetEmperorName%]. 
Response Friend Accept Alliance Proposal 4                              := May our alliance prosper with the addition of this new member!
Response Friend Accept Alliance Proposal 5                              := You take your first steps into the destiny of the galaxy!
Response Friend Refuse Alliance Proposal 1                              := That was not a wise decision, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Friend Refuse Alliance Proposal 2                              := The alliance will be diminshed without your membership. 
Response Friend Refuse Alliance Proposal 3                              := Only a fool stands alone against the storm!
Response Friend Refuse Alliance Proposal 4                              := Reconsider the great honor you throw away [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Friend Refuse Alliance Proposal 5                              := You've lost your only chance at greatness, [%TargetEmperorTitle%] [%TargetEmperorName%]. 
Response Friend Break With Alliance 1                                   := Do not act so rashly, [%TargetEmperorTitle%] [%TargetEmperorName%]. 
Response Friend Break With Alliance 2                                   := The alliance was your only hope of survival, [%TargetEmperorTitle%] [%TargetEmperorName%]. 
Response Friend Break With Alliance 3                                   := Go as a friend, [%TargetEmperorTitle%] [%TargetEmperorName%]. 
Response Friend Break With Alliance 4                                   := You are ill equipped to survive the coming chaos alone, [%TargetEmperorTitle%] [%TargetEmperorName%]. 
Response Friend Break With Alliance 5                                   := The alliance does not need the likes of you, [%TargetEmperorTitle%] [%TargetEmperorName%]. 
Response Friend Accept Request 1                                        := Excellent!
Response Friend Accept Request 2                                        := You have made the right decision, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Friend Accept Request 3                                        := You honor your obligations well, [%TargetEmperorTitle%] [%TargetEmperorName%]. 
Response Friend Accept Request 4                                        := See that you honor all of our requests. 
Response Friend Accept Request 5                                        := You are a welcome ally, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Friend Refuse Request 1                                        := Refusing our requests is not an option, [%TargetEmperorTitle%] [%TargetEmperorName%]. 
Response Friend Refuse Request 2                                        := You endanger our treaty, [%TargetEmperorTitle%] [%TargetEmperorName%]. 
Response Friend Refuse Request 3                                        := Refusing our requests enrages us, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Friend Refuse Request 4                                        := Do you wish to end our treaty? Your refusal says yes, [%TargetEmperorTitle%] [%TargetEmperorName%]. 
Response Friend Refuse Request 5                                        := A treaty with you is meaningless, [%TargetEmperorTitle%] [%TargetEmperorName%]. 
Response Friend NO Want A Gift 1                                        := We cannot supply that gift at this time.
Response Friend NO Want A Gift 2                                        := Out people are barely surviving on what they have now. We cannot afford any more.
Response Friend NO Want A Gift 3                                        := We respect the [%TargetEmpireName%], but this is going to far.
Response Friend NO Want A Gift 4                                        := Your request angers us.
Response Friend NO Want A Gift 5                                        := Though we are allies, gifts among us are not needed at this time.
Response Friend NO Demand Your Surrender 1                              := Our honor will not allow us to surrender to an ally!
Response Friend NO Demand Your Surrender 2                              := How can you ask such a thing of your long time ally, [%TargetEmperorTitle%] [%TargetEmperorName%]?
Response Friend NO Demand Your Surrender 3                              := Our people would rather die than surrender to one we thought was a friend!
Response Friend NO Demand Your Surrender 4                              := We shall fight on!
Response Friend NO Demand Your Surrender 5                              := Never.
Response Friend YES Stop Aggression Against Empire 1                    := We will stop our aggression against the [%OtherEmpireName%].
Response Friend YES Stop Aggression Against Empire 2                    := Your council is wise. We shall suspend attacks against the [%OtherEmpireName%]. 
Response Friend YES Stop Aggression Against Empire 3                    := A momentary pause in our military campaign against the [%OtherEmpireName%] might be warranted. 
Response Friend YES Stop Aggression Against Empire 4                    := Only because you ask this of us, and we value you as an ally. 
Response Friend YES Stop Aggression Against Empire 5                    := Though its against our better judgement, we shall cease aggression against the [%OtherEmpireName%]. 
Response Friend NO Stop Aggression Against Empire 1                     := The [%OtherEmpireName%] is ripe for take over. Our attacks will continue. 
Response Friend NO Stop Aggression Against Empire 2                     := Don't get in our way [%TargetEmperorTitle%] [%TargetEmperorName%], the [%OtherEmpireName%] shall be destroyed. 
Response Friend NO Stop Aggression Against Empire 3                     := You cannot ask this of us, [%TargetEmperorTitle%] [%TargetEmperorName%]. The atrocities commited by the [%OtherEmpireName%] shall be avenged. 
Response Friend NO Stop Aggression Against Empire 4                     := The [%OtherEmpireName%] is not worthy of your concern. We will grind them into dust. 
Response Friend NO Stop Aggression Against Empire 5                     := We must regretfully decline your request. Only the complete destruction of the [%OtherEmpireName%] will sate our blood lust.
Response Friend YES Break Treaty With Empire 1                          := Our treaty with the [%OtherEmpireName%] is done.
Response Friend YES Break Treaty With Empire 2                          := We have severed all ties with the [%OtherEmpireName%].
Response Friend YES Break Treaty With Empire 3                          := We were only toying with the [%OtherEmpireName%]. Now we shall fight them together!
Response Friend YES Break Treaty With Empire 4                          := We value your alliance more, [%TargetEmperorTitle%] [%TargetEmperorName%]. We shall break with the [%OtherEmpireName%].
Response Friend YES Break Treaty With Empire 5                          := The alliance between the [%OtherEmpireName%] and the [%OurEmpireName%] is over.
Response Friend NO Break Treaty With Empire 1                           := Our treaty with the [%OtherEmpireName%] will outlast your empire!
Response Friend NO Break Treaty With Empire 2                           := We cannot break with our most trusted ally.
Response Friend NO Break Treaty With Empire 3                           := Though you are our ally, you cannot dictate our relations with others, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Friend NO Break Treaty With Empire 4                           := The [%OtherEmpireName%] have been our long time allies. Why should we break with them?
Response Friend NO Break Treaty With Empire 5                           := You cannot ask that of us.
Response Friend YES Declare War On Empire 1                             := We shall declare war on the [%OtherEmpireName%].
Response Friend YES Declare War On Empire 2                             := The [%OtherEmpireName%] shall be destroyed by our combined might!
Response Friend YES Declare War On Empire 3                             := As you command, we shall wage war against the [%OtherEmpireName%].
Response Friend YES Declare War On Empire 4                             := War has come at last! The [%OtherEmpireName%] shall burn this night!
Response Friend YES Declare War On Empire 5                             := We have been waiting for you say that. We shall declare war against the [%OtherEmpireName%] immediately.
Response Friend NO Declare War On Empire 1                              := We would never declare war on our strongest ally!
Response Friend NO Declare War On Empire 2                              := Anger has overcome you, [%TargetEmperorTitle%] [%TargetEmperorName%]. We will not declare war on our neighbors.
Response Friend NO Declare War On Empire 3                              := The [%OtherEmpireName%] have never been a threat to us. We will not bring war upon them.
Response Friend NO Declare War On Empire 4                              := You ask too much of us, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Friend NO Declare War On Empire 5                              := We will not join you in the folly of war, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Friend YES Make Peace With Empire 1                            := We will make peace with the [%OtherEmpireName%].
Response Friend YES Make Peace With Empire 2                            := Your compassion touches us [%TargetEmperorTitle%] [%TargetEmperorName%]. We shall sue for peace.
Response Friend YES Make Peace With Empire 3                            := Perhaps it is time to make peace with the [%OtherEmpireName%]. We will try.
Response Friend YES Make Peace With Empire 4                            := We grow weary of conflict with the [%OtherEmpireName%]. We will extend the olive branch.
Response Friend YES Make Peace With Empire 5                            := If you ask this of us, [%TargetEmperorTitle%] [%TargetEmperorName%], then we shall do it.
Response Friend NO Make Peace With Empire 1                             := The [%OtherEmpireName%] don't understand peace, they only understand war.
Response Friend NO Make Peace With Empire 2                             := How can you ask such a thing after the atrocities they have committed? There will never be peace.
Response Friend NO Make Peace With Empire 3                             := You are naive in the ways of the universe, [%TargetEmperorTitle%] [%TargetEmperorName%]. This is not the time for peace.
Response Friend NO Make Peace With Empire 4                             := Do not stand in our way, [%TargetEmperorTitle%] [%TargetEmperorName%]. There will be peace when the [%OtherEmpireName%] have been exterminated.
Response Friend NO Make Peace With Empire 5                             := Our honor will not permit peace, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Friend YES Want To Join Alliance 1                             := We would welcome you as a new member of [%AllianceName%].
Response Friend YES Want To Join Alliance 2                             := Your request to join [%AllianceName%] is accepted. Welcome!
Response Friend YES Want To Join Alliance 3                             := You are joining a great new community!
Response Friend YES Want To Join Alliance 4                             := [%AllianceName%] would be proud to call you a member. 
Response Friend YES Want To Join Alliance 5                             := [%AllianceName%] warmly accepts your request to join. 
Response Friend NO Want To Join Alliance 1                              := Unfortunately, [%AllianceName%] cannot accept you as a member at this time. 
Response Friend NO Want To Join Alliance 2                              := Your petition to join [%AllianceName%] is denied. 
Response Friend NO Want To Join Alliance 3                              := [%AllianceName%] cannot accept new members at this time. 
Response Friend NO Want To Join Alliance 4                              := Your empire is not sufficiently advanced to join [%AllianceName%]. 
Response Friend NO Want To Join Alliance 5                              := You offer nothing of worth to [%AllianceName%].
Response Friend YES Break Your Membership In Alliance 1                 := We will immediately break with [%AllianceName%].
Response Friend YES Break Your Membership In Alliance 2                 := Our membership in [%AllianceName%] is not going to last.
Response Friend YES Break Your Membership In Alliance 3                 := We will sever all ties with [%AllianceName%].
Response Friend YES Break Your Membership In Alliance 4                 := [%AllianceName%] is no longer a group we will associate with.
Response Friend YES Break Your Membership In Alliance 5                 := [%AllianceName%] is soon to be at an end. 
Response Friend NO Break Your Membership In Alliance 1                  := We will never break with [%AllianceName%].
Response Friend NO Break Your Membership In Alliance 2                  := You cannot ask us to end our membership in [%AllianceName%].
Response Friend NO Break Your Membership In Alliance 3                  := Our membership in [%AllianceName%] will last longer than your empire. 
Response Friend NO Break Your Membership In Alliance 4                  := [%AllianceName%] has our loyalty till the end of time. 
Response Friend NO Break Your Membership In Alliance 5                  := We will not break our membership. 
Response Friend YES Join Alliance 1                                     := Yes, we shall join [%AllianceName%].
Response Friend YES Join Alliance 2                                     := We will join [%AllianceName%]. 
Response Friend YES Join Alliance 3                                     := [%AllianceName%] will have our membership. 
Response Friend YES Join Alliance 4                                     := [%AllianceName%] will have our allegiance. 
Response Friend YES Join Alliance 5                                     := We will immediately join [%AllianceName%]. 
Response Friend NO Join Alliance 1                                      := We cannot join [%AllianceName%] at this time. 
Response Friend NO Join Alliance 2                                      := [%AllianceName%] is not worthy of our allegiance. 
Response Friend NO Join Alliance 3                                      := We will never join [%AllianceName%]. 
Response Friend NO Join Alliance 4                                      := [%AllianceName%] does not need us. 
Response Friend NO Join Alliance 5                                      := [%AllianceName%] will not count us as a member. 
Response Friend YES Stop Espionage Against Us 1                         := We will stop these unwarranted attacks against you.
Response Friend YES Stop Espionage Against Us 2                         := We apologize for the transgression. Our government in no way supported these treacherous acts.
Response Friend YES Stop Espionage Against Us 3                         := Rogue agents performed these acts of treason. They have been publicly executed. You will be troubled no more.
Response Friend YES Stop Espionage Against Us 4                         := We may have become overzealous in our thirst for knowledge. We in no way meant any offense.
Response Friend YES Stop Espionage Against Us 5                         := We will stop immediately, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Friend NO Stop Espionage Against Us 1                          := We cannot at this time. We must know all.
Response Friend NO Stop Espionage Against Us 2                          := You would accuse us, your long time ally? You should look elsewhere, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Friend NO Stop Espionage Against Us 3                          := You must share your knowledge with your allies!
Response Friend NO Stop Espionage Against Us 4                          := You make many promises, [%TargetEmperorTitle%] [%TargetEmperorName%], and yet you fail to deliver. We only want what is rightfully ours.
Response Friend NO Stop Espionage Against Us 5                          := It is our enemies who seek to implicate us! We know nothing of these deeds!
Response Friend YES Stop Espionage Against Empire 1                     := We shall halt our espionage against the [%OtherEmpireName%].
Response Friend YES Stop Espionage Against Empire 2                     := [%OtherEmpireName%] shall incur no further attacks from us. 
Response Friend YES Stop Espionage Against Empire 3                     := Only because you ask us [%OtherEmperorTitle%] [%OtherEmperorName%], we shall cease our espionage against the [%OtherEmpireName%].
Response Friend YES Stop Espionage Against Empire 4                     := Our covert actions against the [%OtherEmpireName%] shall be suspended for a time. 
Response Friend YES Stop Espionage Against Empire 5                     := We only wish to know more about the [%OtherEmpireName%]. But we will stop our investigation for now. 
Response Friend NO Stop Espionage Against Empire 1                      := We must know all of the secret designs of the [%OtherEmpireName%]. Our espionage shall continue. 
Response Friend NO Stop Espionage Against Empire 2                      := The [%OtherEmpireName%] plot war against us, and we shall know all of their plans. 
Response Friend NO Stop Espionage Against Empire 3                      := We will not cease our espionage against the [%OtherEmpireName%]. 
Response Friend NO Stop Espionage Against Empire 4                      := You cannot ask us to live near the [%OtherEmpireName%] and not know all we can. 
Response Friend NO Stop Espionage Against Empire 5                      := Never. Our espionage will continue against the [%OtherEmpireName%] until we are satisfied. 
Response Friend YES Stop Sabotage Against Us 1                          := We apologize for this unfortunate accident.
Response Friend YES Stop Sabotage Against Us 2                          := A mistake on our part. We hope this will not damage our long standing friendship.
Response Friend YES Stop Sabotage Against Us 3                          := Our most sincere apologies, [%TargetEmperorTitle%] [%TargetEmperorName%]. It shall never happen again.
Response Friend YES Stop Sabotage Against Us 4                          := An accident we truly regret.
Response Friend YES Stop Sabotage Against Us 5                          := One of our operatives went mad on assignment. He has been summarily executed for his crimes.
Response Friend NO Stop Sabotage Against Us 1                           := We do what we must.
Response Friend NO Stop Sabotage Against Us 2                           := We know that you are plotting against us, [%TargetEmperorTitle%] [%TargetEmperorName%]! We will not allow it.
Response Friend NO Stop Sabotage Against Us 3                           := Our enemies seek to turn us against each other, [%TargetEmperorTitle%] [%TargetEmperorName%]. It was not us that did this deed!
Response Friend NO Stop Sabotage Against Us 4                           := An accident. We will try and do better.
Response Friend NO Stop Sabotage Against Us 5                           := Such petty accusations are beneath you, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Friend YES Stop Sabotage Against Empire 1                      := We shall stop our sabotage against the acursed [%OtherEmpireName%]. 
Response Friend YES Stop Sabotage Against Empire 2                      := We will suspend intelligence operations against the [%OtherEmpireName%] for the time being. 
Response Friend YES Stop Sabotage Against Empire 3                      := Though it goes against our better judgement, we shall cease our sabotage against the [%OtherEmpireName%] for now. 
Response Friend YES Stop Sabotage Against Empire 4                      := Only because you ask it of us, [%TargetEmperorTitle%] [%TargetEmperorName%], we shall stop further sabotage against the [%OtherEmpireName%].
Response Friend YES Stop Sabotage Against Empire 5                      := Revenge is our right. But in deference to you [%TargetEmperorTitle%] [%TargetEmperorName%], we will hold back on future intelligence retribution.
Response Friend NO Stop Sabotage Against Empire 1                       := Sabotage against the acursed [%OtherEmpireName%] is our right and shall never cease. 
Response Friend NO Stop Sabotage Against Empire 2                       := We shall not stop our sabotage against the [%OtherEmpireName%] until all of their cities burn!
Response Friend NO Stop Sabotage Against Empire 3                       := Do not side with the [%OtherEmpireName%], they deserve the sabotage we wreak against them. 
Response Friend NO Stop Sabotage Against Empire 4                       := Do not stand in the way of our vengeance [%TargetEmperorTitle%] [%TargetEmperorName%]. 
Response Friend NO Stop Sabotage Against Empire 5                       := Sabotage against the [%OtherEmpireName%] is to continue despite your protestations, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Friend YES Stop Ship Attacks In System 1                       := We will cease our military actions in the [%SystemName%] system.
Response Friend YES Stop Ship Attacks In System 2                       := A border skirmish, nothing more. Don't trouble yourself about it, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Friend YES Stop Ship Attacks In System 3                       := A few of our captains in the system mutinied and made the recent attacks without authorization. They have been dismissed.
Response Friend YES Stop Ship Attacks In System 4                       := Our forces will stand-down in the [%SystemName%] system.
Response Friend YES Stop Ship Attacks In System 5                       := The [%SystemName%] is now a no fire zone for us.
Response Friend NO Stop Ship Attacks In System 1                        := The [%SystemName%] system must be subdued.
Response Friend NO Stop Ship Attacks In System 2                        := We must continue to quell the rebel insurgents in the [%SystemName%] system.
Response Friend NO Stop Ship Attacks In System 3                        := The [%SystemName%] system cannot be allowed to run amok. We will bring it order.
Response Friend NO Stop Ship Attacks In System 4                        := Do not try and stay our hand, [%TargetEmperorTitle%] [%TargetEmperorName%]. The [%SystemName%] system is neutral territory.
Response Friend NO Stop Ship Attacks In System 5                        := We cannot rest until there is peace in the [%SystemName%] system.
Response Friend YES Request Military Assistance 1                       := We shall attempt to aid you as best we can [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Friend YES Request Military Assistance 2                       := Our military is preparing to move to your support, [%TargetEmperorTitle%] [%TargetEmperorName%]. 
Response Friend YES Request Military Assistance 3                       := Our military assistance is on the way, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Friend YES Request Military Assistance 4                       := Do not worry, [%TargetEmperorTitle%] [%TargetEmperorName%]. Our military will join with yours in glorious battle!
Response Friend YES Request Military Assistance 5                       := An entire battle group is moving to assist you, [%TargetEmperorTitle%] [%TargetEmperorName%]. 
Response Friend NO Request Military Assistance 1                        := Unfortunately, we cannot support you at this time, [%TargetEmperorTitle%] [%TargetEmperorName%]. 
Response Friend NO Request Military Assistance 2                        := Our military has been weakened significantly in our recent campaigns. We cannot aide you at this time. 
Response Friend NO Request Military Assistance 3                        := Our military advisers say that your position is hopeless [%TargetEmperorTitle%] [%TargetEmperorName%]. We will not send our ships to their destruction. 
Response Friend NO Request Military Assistance 4                        := Our forces are currently engaged on multiple fronts. We cannot send military support at this time. 
Response Friend NO Request Military Assistance 5                        := We remember when your support waned for us [%TargetEmperorTitle%] [%TargetEmperorName%]. We have no military support to offer. 
Response Friend YES Request Military Assistance Against Empire 1        := We will support your efforts against the [%OtherEmpireName%].
Response Friend YES Request Military Assistance Against Empire 2        := We will always aide our allies, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Friend YES Request Military Assistance Against Empire 3        := We are sending warships to assist.
Response Friend YES Request Military Assistance Against Empire 4        := As we speak, our forces are massing for an assault against the [%OtherEmpireName%].
Response Friend YES Request Military Assistance Against Empire 5        := We shall do whatever it takes, [%TargetEmperorTitle%] [%TargetEmperorName%], to help you against the savage [%OtherEmpireName%].
Response Friend NO Request Military Assistance Against Empire 1         := We cannot get involved in your conflict with the [%OtherEmpireName%].
Response Friend NO Request Military Assistance Against Empire 2         := We cannot support your unlawful assaults against the [%OtherEmpireName%].
Response Friend NO Request Military Assistance Against Empire 3         := The [%OtherEmpireName%] are a peaceful people. We cannot help you against them.
